,0,1,2,3,4,5,6,7,8,9,10,11
0,7.0,21.0,30.0,2.0,3.0,30.0,2.0,3.0,59.0,7.0,2.0,0.0
1,7.0,32.0,70.0,2.0,4.0,68.0,2.0,4.0,134.0,7.0,2.0,0.0
2,7.0,15.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,7.0,2.0,0.0
3,7.0,33.0,77.0,2.0,7.0,73.0,2.0,7.0,144.0,7.0,2.0,0.0
4,7.0,55.0,78.0,3.0,7.0,74.0,3.0,7.0,146.0,8.0,2.0,0.0
5,7.0,66.0,34.0,4.0,3.0,32.0,4.0,3.0,64.0,9.0,2.0,0.0
6,7.0,43.0,32.0,3.0,3.0,31.0,3.0,3.0,61.0,8.0,2.0,0.0
7,7.0,78.0,79.0,4.0,7.0,75.0,4.0,7.0,149.0,9.0,2.0,0.0
8,7.0,61.0,4.0,4.0,2.0,2.0,4.0,2.0,5.0,9.0,2.0,0.0
9,7.0,37.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,8.0,2.0,0.0
10,7.0,54.0,71.0,3.0,4.0,69.0,3.0,4.0,136.0,8.0,2.0,0.0
11,7.0,77.0,73.0,4.0,4.0,71.0,4.0,4.0,140.0,9.0,2.0,0.0
12,7.0,56.0,83.0,3.0,6.0,79.0,3.0,6.0,158.0,8.0,2.0,0.0
13,7.0,34.0,82.0,2.0,6.0,78.0,2.0,6.0,156.0,7.0,2.0,0.0
14,7.0,79.0,84.0,4.0,6.0,80.0,4.0,6.0,161.0,9.0,2.0,0.0
15,7.0,77.0,73.0,4.0,4.0,71.0,4.0,4.0,140.0,9.0,3.0,20.0464
16,7.0,54.0,71.0,3.0,4.0,69.0,3.0,4.0,138.0,5.0,3.0,1.0
17,7.0,57.0,86.0,3.0,0.0,82.0,3.0,0.0,164.0,8.0,2.0,0.0
18,7.0,35.0,85.0,2.0,0.0,81.0,2.0,0.0,162.0,7.0,2.0,0.0
19,7.0,54.0,71.0,3.0,4.0,69.0,3.0,4.0,137.0,2.0,3.0,1521216755210.0
20,7.0,38.0,7.0,3.0,8.0,5.0,3.0,8.0,10.0,8.0,2.0,0.0
21,7.0,80.0,87.0,4.0,0.0,83.0,4.0,0.0,167.0,9.0,2.0,0.0
22,7.0,61.0,4.0,4.0,2.0,2.0,4.0,2.0,5.0,9.0,3.0,19.8391
23,7.0,77.0,73.0,4.0,4.0,71.0,4.0,4.0,140.0,9.0,3.0,19.9088
24,7.0,39.0,12.0,3.0,10.0,11.0,3.0,10.0,22.0,8.0,2.0,0.0
25,7.0,16.0,6.0,2.0,8.0,4.0,2.0,8.0,8.0,7.0,2.0,0.0
26,7.0,78.0,79.0,4.0,7.0,75.0,4.0,7.0,149.0,9.0,3.0,19.9523
27,7.0,17.0,11.0,2.0,10.0,10.0,2.0,10.0,20.0,7.0,2.0,0.0
28,7.0,41.0,22.0,3.0,1.0,23.0,3.0,1.0,46.0,8.0,2.0,0.0
29,7.0,18.0,19.0,2.0,5.0,19.0,2.0,5.0,38.0,7.0,2.0,0.0
30,7.0,43.0,32.0,3.0,3.0,31.0,3.0,3.0,63.0,5.0,3.0,1.0
31,7.0,43.0,32.0,3.0,3.0,31.0,3.0,3.0,62.0,2.0,3.0,1521216758314.0
32,7.0,66.0,34.0,4.0,3.0,32.0,4.0,3.0,64.0,9.0,3.0,19.8185
33,7.0,61.0,4.0,4.0,2.0,2.0,4.0,2.0,5.0,9.0,3.0,20.0005
34,7.0,40.0,20.0,3.0,5.0,20.0,3.0,5.0,40.0,8.0,2.0,0.0
35,7.0,19.0,21.0,2.0,1.0,22.0,2.0,1.0,44.0,7.0,2.0,0.0
36,7.0,21.0,30.0,2.0,3.0,31.0,3.0,3.0,63.0,5.0,1.0,1.0
37,7.0,15.0,1.0,2.0,2.0,1.0,3.0,2.0,4.0,5.0,1.0,0.0
38,7.0,33.0,77.0,2.0,7.0,74.0,3.0,7.0,148.0,5.0,1.0,0.0
39,7.0,21.0,30.0,2.0,3.0,30.0,2.0,3.0,60.0,5.0,3.0,1.0
40,7.0,42.0,25.0,3.0,9.0,27.0,3.0,9.0,53.0,8.0,2.0,0.0
41,7.0,32.0,70.0,2.0,4.0,69.0,3.0,4.0,138.0,5.0,1.0,1.0
42,7.0,20.0,24.0,2.0,9.0,26.0,2.0,9.0,51.0,7.0,2.0,0.0
43,7.0,77.0,73.0,4.0,4.0,71.0,4.0,4.0,140.0,9.0,3.0,20.475
44,7.0,78.0,79.0,4.0,7.0,75.0,4.0,7.0,149.0,9.0,3.0,20.2078
45,7.0,32.0,70.0,2.0,4.0,68.0,2.0,4.0,135.0,5.0,3.0,1.0
46,7.0,62.0,8.0,4.0,8.0,7.0,4.0,8.0,14.0,9.0,2.0,0.0
47,7.0,61.0,4.0,4.0,2.0,2.0,4.0,2.0,5.0,9.0,3.0,20.1757
48,7.0,66.0,34.0,4.0,3.0,32.0,4.0,3.0,64.0,9.0,3.0,19.7536
49,7.0,63.0,13.0,4.0,10.0,12.0,4.0,10.0,25.0,9.0,2.0,0.0
50,7.0,33.0,77.0,2.0,7.0,74.0,3.0,7.0,148.0,5.0,1.0,0.0
51,7.0,21.0,30.0,2.0,3.0,31.0,3.0,3.0,63.0,5.0,1.0,1.0
52,7.0,18.0,19.0,2.0,5.0,20.0,3.0,5.0,42.0,5.0,1.0,0.0
53,7.0,15.0,1.0,2.0,2.0,1.0,3.0,2.0,4.0,5.0,1.0,0.0
54,7.0,77.0,73.0,4.0,4.0,71.0,4.0,4.0,140.0,9.0,3.0,19.7719
55,7.0,78.0,79.0,4.0,7.0,75.0,4.0,7.0,149.0,9.0,3.0,20.4103
56,7.0,32.0,70.0,2.0,4.0,69.0,3.0,4.0,138.0,5.0,1.0,1.0
